655428196,-0.50,-9.98,-1.03,3.00,16.00,5.00,0.67,-0.74,0.01,0.03,101786.87,25.90,36.53,
655451376,-0.51,-9.97,-1.05,1.00,15.00,-1.00,0.67,-0.74,0.01,0.03,101792.45,25.67,36.53,
655474811,-0.52,-9.94,-1.10,-1.00,15.00,-3.00,0.67,-0.74,0.01,0.03,101792.45,25.44,36.53,
655499082,-0.42,-9.98,-1.05,4.00,7.00,6.00,0.67,-0.74,0.01,0.03,101792.45,25.44,36.54,
655521430,-0.43,-9.93,-1.01,2.00,8.00,5.00,0.67,-0.74,0.01,0.03,101791.26,25.54,36.53,
655544344,-0.47,-9.99,-0.99,1.00,11.00,6.00,0.67,-0.74,0.01,0.03,101786.87,25.90,36.53,
655567524,-0.49,-10.00,-0.98,-5.00,5.00,5.00,0.67,-0.74,0.01,0.03,101786.87,25.90,36.53,
655590962,-0.53,-10.00,-1.03,-1.00,9.00,9.00,0.67,-0.74,0.01,0.03,101790.45,25.60,36.53,
655614396,-0.45,-9.98,-1.05,-6.00,-1.00,5.00,0.67,-0.74,0.01,0.03,101784.07,26.13,36.57,
655638405,-0.44,-9.94,-0.99,-4.00,3.00,9.00,0.67,-0.74,0.01,0.03,101798.84,24.91,36.58,
655664441,-0.50,-9.97,-1.13,-3.00,-2.00,9.00,0.67,-0.74,0.01,0.03,101798.42,24.94,36.61,
655685809,-0.47,-9.96,-1.07,-3.00,-1.00,8.00,0.67,-0.74,0.01,0.03,101800.45,24.78,36.73,
655707888,-0.49,-10.03,-1.05,-2.00,9.00,11.00,0.67,-0.74,0.01,0.03,101822.42,22.96,36.70,
655731587,-0.52,-9.97,-1.04,-3.00,2.00,8.00,0.67,-0.74,0.01,0.03,101825.98,22.66,36.68,
655754761,-0.46,-9.97,-1.09,-3.00,6.00,9.00,0.67,-0.74,0.01,0.03,101819.22,23.22,36.66,
655778508,-0.46,-9.97,-1.05,0.00,10.00,5.00,0.67,-0.74,0.01,0.03,101810.44,23.95,36.64,
655801116,-0.41,-9.92,-1.19,5.00,7.00,2.00,0.67,-0.74,0.01,0.03,101815.62,23.52,36.61,
655824032,-0.50,-9.99,-1.06,19.00,34.00,-10.00,0.67,-0.74,0.01,0.03,101805.22,24.38,36.59,
