326287493,0.35,9.88,-0.75,5,-61,-12,0.54,0.5,0.48,97961.84,262.67,21.31
326296509,0.24,9.88,-0.79,11,-58,-11,0.54,0.5,0.48,97961.84,262.67,21.31
326320735,0.21,9.8,-0.73,8,-70,0,0.54,0.5,0.48,97961.16,262.73,21.31
326331996,0.31,9.86,-0.71,11,-72,0,0.54,0.5,0.48,97961.16,262.73,21.31
326341013,0.31,9.86,-0.65,5,-71,-1,0.54,0.5,0.48,97961.16,262.73,21.31
326350029,0.39,9.91,-0.73,9,-72,-2,0.54,0.5,0.48,97961.16,262.73,21.31
326362613,0.46,9.85,-0.73,11,-69,-4,0.54,0.5,0.48,97961.16,262.73,21.31
326371627,0.49,9.88,-0.76,10,-64,-9,0.54,0.5,0.48,97961.16,262.67,21.31
326380640,0.46,9.87,-0.72,8,-65,-13,0.54,0.5,0.48,97961.84,262.67,21.31
326389656,0.38,9.88,-0.76,10,-65,-11,0.54,0.5,0.48,97961.84,262.67,21.31
326398671,0.32,9.88,-0.8,12,-64,-13,0.54,0.5,0.48,97961.84,262.67,21.31
326407685,0.3,9.84,-0.73,7,-57,-14,0.54,0.5,0.48,97961.84,262.67,21.31
326420678,0.26,9.82,-0.73,5,-57,-9,0.54,0.5,0.48,97961.84,262.67,21.31
326429692,0.31,9.87,-0.68,8,-66,-2,0.54,0.5,0.48,97961.84,262.73,21.31
326438709,0.17,9.88,-0.7,7,-67,-3,0.54,0.5,0.48,97960.38,262.8,21.31
326447726,0.25,9.85,-0.62,6,-70,-3,0.54,0.5,0.48,97961.05,262.74,21.31
326456742,0.31,9.92,-0.7,6,-75,7,0.54,0.5,0.48,97961.05,262.74,21.31
326465756,0.31,9.92,-0.75,7,-71,5,0.54,0.5,0.48,97961.84,262.67,21.31
326474770,0.49,9.88,-0.68,4,-71,7,0.54,0.5,0.48,97961.84,262.67,21.31
326486239,0.44,9.87,-0.7,8,-72,6,0.54,0.5,0.48,97961.84,262.67,21.31
326495254,0.49,9.87,-0.67,5,-68,-2,0.54,0.5,0.48,97962.53,262.61,21.31
326504267,0.46,9.87,-0.68,6,-64,-4,0.54,0.5,0.48,97962.53,262.61,21.31
326513396,0.44,9.87,-0.77,6,-61,-8,0.54,0.5,0.48,97962.53,262.61,21.31
326522410,0.37,9.87,-0.8,7,-58,-8,0.54,0.5,0.48,97962.53,262.61,21.31
326531427,0.29,9.91,-0.76,8,-57,-5,0.54,0.5,0.48,97962.53,262.61,21.31
